Py(10px),Py(10px) 2,Py(10px) 3,Py(10px) 4,Py(10px) 5,Py(10px) 6,Py(10px) 7
"Sep 24, 2021",46.40,46.74,46.24,46.51,46.51,"1,073,500"
"Sep 23, 2021",45.79,46.57,45.76,46.36,46.36,"1,509,000"
"Sep 22, 2021",45.21,46.07,44.99,45.63,45.63,"1,668,200"
"Sep 21, 2021",45.28,45.77,44.62,44.80,44.80,"1,586,500"
"Sep 20, 2021",45.04,45.40,44.49,45.10,45.10,"1,821,100"
"Sep 17, 2021",46.20,46.36,45.42,45.80,45.80,"3,053,100"
"Sep 16, 2021",46.47,46.75,46.21,46.38,46.38,"1,360,600"
"Sep 15, 2021",46.52,46.73,45.95,46.57,46.57,"1,391,500"
"Sep 14, 2021",46.85,46.90,46.17,46.58,46.58,"1,485,800"
"Sep 13, 2021",45.98,47.59,45.83,46.94,46.94,"1,531,300"
"Sep 10, 2021",46.56,46.80,45.54,45.57,45.57,"1,530,900"
"Sep 09, 2021",45.64,46.22,45.02,46.05,46.05,"2,282,900"
"Sep 08, 2021",45.84,46.48,45.42,46.28,46.28,"1,348,000"
"Sep 07, 2021",46.76,46.85,45.77,45.82,45.82,"1,730,700"
"Sep 03, 2021",47.13,47.23,46.68,46.98,46.98,"842,600"
"Sep 02, 2021",47.34,47.66,46.82,47.09,47.09,"781,500"
"Sep 01, 2021",47.73,47.83,47.02,47.27,47.27,"981,700"
"Aug 31, 2021",46.76,47.81,46.55,47.53,47.53,"2,218,400"
"Aug 30, 2021",47.50,47.69,46.70,46.74,46.74,"1,230,100"
"Aug 27, 2021",46.98,47.81,46.77,47.51,47.51,"940,800"
"Aug 27, 2021",,,,,,
"Aug 26, 2021",47.56,47.81,46.86,47.17,46.83,"1,757,500"
"Aug 25, 2021",48.37,48.37,47.73,47.91,47.56,"1,078,400"
"Aug 24, 2021",48.18,48.65,48.04,48.45,48.10,"1,019,000"
"Aug 23, 2021",48.00,48.59,47.63,48.03,47.68,"1,252,500"
"Aug 20, 2021",47.91,48.13,47.61,47.79,47.45,"1,531,600"
"Aug 19, 2021",48.84,49.08,47.87,48.05,47.70,"1,309,700"
"Aug 18, 2021",49.69,49.81,48.85,48.88,48.53,"1,097,700"
"Aug 17, 2021",50.07,50.55,49.39,49.66,49.30,"1,065,300"
"Aug 16, 2021",50.56,51.02,49.87,50.38,50.02,"945,500"
"Aug 13, 2021",50.55,51.19,50.34,50.54,50.18,"1,110,500"
"Aug 12, 2021",52.16,52.16,50.35,50.37,50.01,"1,300,100"
"Aug 11, 2021",51.43,52.15,51.15,52.05,51.67,"2,334,800"
"Aug 10, 2021",49.42,51.36,49.41,51.20,50.83,"2,366,000"
"Aug 09, 2021",49.00,49.65,48.89,49.34,48.98,"1,045,700"
"Aug 06, 2021",48.65,49.58,48.45,49.10,48.75,"1,351,800"
"Aug 05, 2021",48.29,48.60,48.13,48.30,47.95,"1,220,100"
"Aug 04, 2021",48.74,49.20,48.00,48.02,47.67,"1,531,100"
"Aug 03, 2021",49.45,49.45,48.40,49.13,48.78,"2,020,500"
"Aug 02, 2021",48.89,50.57,48.89,49.25,48.90,"1,934,500"
"Jul 30, 2021",49.70,50.15,48.80,48.89,48.54,"1,704,500"
"Jul 29, 2021",50.00,50.49,48.42,49.41,49.05,"3,191,800"
"Jul 28, 2021",49.69,49.89,49.12,49.53,49.17,"2,032,900"
"Jul 27, 2021",50.30,50.56,49.79,50.01,49.65,"1,413,700"
